,Test data No.,Test Accuracy
0,1.0,1.0
1,2.0,1.0
2,3.0,1.0
3,4.0,1.0
4,5.0,1.0
5,6.0,1.0
6,7.0,1.0
7,8.0,0.994535505771637
8,9.0,0.5759694576263428
9,10.0,0.6200873255729675
10,11.0,0.5888538360595703
11,12.0,0.6491078734397888
